,longitude,latitude,propertyTaxRate,price,numPriceChanges,saleMonth,saleYear,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,medianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,age,zipcode_median,clusters,cluster
4691,-97.92227173,30.18714905,1.98,490000,1,10,2020,28,0,4,2,5,1,0,0,0,2714,1,0,1,1,2.233333333,8.0,1655,18,3.0,4,2,15,523915.0,0,pink
4692,-97.87583923,30.28108215,1.98,1295000,4,4,2019,1,0,0,1,0,0,0,0,0,3847,1,0,1,1,5.366666667,5.666666667,1332,16,5.0,4,1,37,649999.0,1,light purple
4693,-97.92411041,30.19082451,1.98,425000,1,4,2018,38,0,3,1,0,0,0,0,0,2119,1,0,1,1,2.333333333,8.0,1655,18,2.0,3,1,11,523915.0,0,pink
4694,-97.89707184,30.23888016,1.98,385000,4,11,2020,66,0,6,2,4,2,0,0,0,1400,1,0,1,1,3.6,6.666666667,1698,17,3.0,3,2,38,380000.0,0,pink
4695,-97.92266846,30.18748665,1.98,469444,5,10,2019,40,0,4,2,1,0,0,1,0,3080,1,0,1,1,2.233333333,8.0,1655,18,3.0,4,2,14,523915.0,0,pink
4696,-97.86867523,30.27969742,1.98,1175000,3,12,2019,37,0,5,1,2,2,0,2,0,2951,1,0,1,1,5.0,5.666666667,1332,16,3.0,3,1,38,649999.0,1,light purple
4697,-97.84960938,30.23808861,1.98,450000,4,1,2019,22,0,3,3,0,0,0,0,0,1738,1,0,1,1,2.266666667,6.0,1455,17,2.0,3,1,56,649999.0,0,pink
4698,-97.89617157,30.2388401,1.98,279000,2,10,2018,31,0,6,2,0,0,0,0,0,1582,1,0,1,1,3.533333333,6.666666667,1698,17,3.0,3,2,38,380000.0,0,pink
4699,-97.92327118,30.18724823,1.98,432000,4,8,2019,37,0,3,1,2,1,0,0,0,2330,1,0,1,1,2.233333333,8.0,1655,18,2.0,3,2,15,523915.0,0,pink
4700,-97.85765839,30.27453613,1.98,799900,6,8,2020,80,0,3,2,1,2,0,0,0,4133,1,0,1,1,4.433333333,5.666666667,1332,16,4.0,4,1,28,649999.0,1,light purple
4701,-97.87801361,30.28153038,1.98,889000,4,6,2018,31,0,3,2,0,0,0,0,0,3989,1,0,1,1,5.466666667,5.666666667,1332,16,4.0,3,2,37,649999.0,1,light purple
4702,-97.91068268,30.19142532,1.98,712500,5,10,2020,40,0,1,2,1,0,0,1,0,3495,1,0,1,1,1.8,8.666666667,1664,18,3.0,4,1,13,523915.0,1,light purple
4703,-97.8793869,30.25316429,1.98,749400,1,10,2019,34,0,4,1,1,0,0,0,0,2890,1,0,1,1,3.766666667,6.0,1455,17,4.0,4,3,2,649999.0,1,light purple
4704,-97.92077637,30.1874733,1.98,450000,5,11,2018,30,0,3,1,0,0,0,0,0,2520,1,0,1,1,2.2,8.0,1655,18,3.0,4,2,14,523915.0,0,pink
4705,-97.90235901,30.24049759,1.98,599900,1,7,2020,40,0,3,2,1,1,0,0,0,3692,1,0,1,1,3.6,6.666666667,1660,17,4.0,5,2,14,380000.0,0,pink
4706,-97.891922,30.24292183,1.98,325000,3,11,2018,26,0,4,2,0,0,0,0,0,1461,1,0,1,1,3.4,6.666666667,1698,17,2.0,3,2,38,380000.0,0,pink
4707,-97.85089874,30.23734665,1.98,516000,1,3,2020,1,0,3,3,1,0,0,0,0,2158,1,0,1,1,2.266666667,6.0,1455,17,3.0,3,1,52,649999.0,0,pink
4708,-97.88502502,30.27810478,1.98,248063,6,3,2019,24,0,4,1,0,0,0,0,0,5664,1,0,1,1,5.766666667,5.666666667,1332,16,6.0,5,2,6,649999.0,0,pink
4709,-97.9260788,30.18811226,1.98,395000,5,7,2018,31,0,3,1,0,0,0,0,0,2026,1,0,1,1,2.4,8.0,1655,18,2.0,4,1,11,523915.0,0,pink
4710,-97.93534851,30.19050217,1.98,675000,4,6,2018,37,0,5,2,0,0,0,0,0,2677,1,0,1,1,2.9,8.0,1655,18,3.0,4,1,43,498500.0,0,pink
4711,-97.90818024,30.19004059,1.98,559900,3,3,2020,29,0,7,1,3,2,0,0,0,3185,1,0,1,1,1.733333333,8.666666667,1664,18,3.0,4,1,15,523915.0,0,pink
4712,-97.90129089,30.24191093,1.98,515000,9,7,2019,37,0,4,2,0,0,0,0,0,3888,1,0,1,1,3.6,6.666666667,1660,17,4.0,5,2,16,380000.0,0,pink
